DateTime,AddedIPs,RemovedIPs
1468360622,3,1
1468364222,5,2
1468367822,6,19
1468371422,9,4
1468375021,5,2
1468378621,8,8
1468382221,16,9
1468385822,7,4
1468389422,2,9
1468394221,4,7
1468397822,8,5
1468401422,5,5
1468405022,10,7
1468408622,11,1
1468412222,7,6
1468415822,3,11
1468419422,19,6
1468423021,5,5
1468426622,2,5
1468430222,8,6
1468433822,5,4
1468437421,8,2
1468441022,3,9
1468444622,5,2
1468448222,7,3
1468451822,2,4
1468455422,3,10
1468459022,6,2
1468462621,3,6
1468466222,6,11
1468469822,6,10
1468473422,9,4
1468477022,3,4
1468480621,2,4
1468484222,3,5
1468487822,5,6
1468491422,8,7
1468495022,6,11
1468498622,5,7
1468502222,8,6
1468505822,5,17
1468509721,8,5
1468513322,8,5
1468516921,9,5
1468520522,8,5
1468524122,5,7
1468527722,2,8
1468531323,5,8
1468534922,2,8
1468538522,3,3
1468542122,9,4
1468545724,2,4
1468549321,7,5
1468552923,11,5
1468556522,1,10
1468560122,4,8
1468563722,7,3
1468567322,3,2
1468570922,4,2
1468576322,12,9
1468579922,10,7
1468583521,10,5
1468587122,9,3
1468590722,10,8
1468594321,7,4
1468597922,5,6
1468601522,6,8
1468605121,7,8
1468608722,5,3
1468612322,8,4
1468615922,12,5
1468619521,19,3
1468623122,11,2
1468626721,8,5
1468630322,3,5
1468633922,5,2
1468637522,7,8
1468641122,7,10
1468644722,9,2
1468648322,3,6
1468651921,1,4
1468655522,3,6
1468659122,4,5
1468662722,1,12
1468666322,14,12
1468669922,1,11
1468673522,4,7
1468677122,2,13
1468680721,8,8
1468684322,4,5
1468687921,4,6
1468691522,4,5
1468695121,2,4
1468698722,5,9
1468702322,4,14
1468705922,5,16
1468709522,4,9
1468713122,0,7
1468716721,5,5
1468720322,5,4
1468723922,4,7
1468727521,9,5
1468731122,4,12
1468734721,2,3
1468738621,10,7
1468742222,1,3
1468745822,2,2
1468749421,2,2
1468753021,6,11
1468756622,0,2
1468760221,8,5
1468763822,8,5
1468767422,3,5
1468771021,1,5
1468774621,3,5
1468778221,4,6
1468781822,9,4
1468785422,7,4
1468789022,7,6
1468792622,6,6
1468796221,7,4
1468799822,3,2
1468803422,4,8
1468807022,1,5
1468810621,5,6
1468814221,4,6
1468817822,11,4
1468821722,8,4
1468825322,3,6
1468828923,7,1
1468832522,3,3
1468836122,6,2
1468839722,0,6
1468843322,4,0
1468846922,6,8
1468850523,4,8
1468854122,5,5
1468857723,8,1
1468861323,7,3
1468864922,5,4
1468868522,5,8
1468872122,24,5
1468875722,1,7
1468879322,5,5
1468882923,7,6
1468886522,4,4
1468890122,5,7
1468893723,2,1
1468897322,3,6
1468900922,11,4
1468904522,4,10
1468908122,7,7
1468911722,4,3
1468915323,5,8
1468918922,6,3
1468922522,15,9
1468926122,6,0
1468930022,4,6
1468933622,6,4
1468937222,2,4
1468940821,5,4
1468944422,7,8
1468948022,6,6
1468951621,5,5
1468955222,4,4
1468958822,8,24
1468962422,4,3
1468966022,5,5
1468969922,22,8
1468973822,4,4
1468977422,8,3
1468981021,4,9
1468984622,6,4
1468988221,3,10
1468991822,5,7
1468995722,4,8
1468999322,5,5
1469002922,12,5
1469006521,4,8
1469010122,4,14
1469013722,5,2
1469017322,12,6
1469020922,2,4
1469024523,5,3
1469028122,5,4
1469031721,4,5
1469035322,11,4
1469038922,4,6
1469042522,5,7
1469046122,5,6
1469049722,5,4
1469053322,2,3
1469056922,8,18
1469060522,6,3
1469064122,4,6
1469067722,4,3
1469071322,16,5
1469074922,3,4
1469078522,9,6
1469082123,4,4
1469085722,7,5
1469089322,3,9
1469092922,7,5
1469096522,6,1
1469100122,8,3
1469103722,5,13
1469107322,7,3
1469110922,4,5
1469114522,8,5
1469118122,15,4
1469121722,6,11
1469125322,11,4
1469128922,3,4
1469132523,3,6
1469136122,3,6
1469139722,7,4
1469143321,4,5
1469146924,5,5
1469150522,1,3
1469154121,5,4
1469157723,4,19
1469161323,4,7
1469164922,3,11
1469168522,10,6
1469172122,8,7
1469175730,4,3
1469179322,1,5
1469182922,5,5
1469186521,5,7
1469190122,5,2
1469193721,3,6
1469197321,7,7
1469200922,2,6
1469204522,5,13
1469208122,1,7
1469211722,5,10
1469215322,2,7
1469218922,6,1
1469222522,5,3
1469226122,2,6
1469229722,4,5
1469233322,4,7
1469236922,8,1
1469240522,3,6
1469244122,1,4
1469247722,4,4
1469251322,4,6
1469254922,2,12
1469258522,7,9
1469262122,2,6
1469265722,7,2
1469269322,3,11
1469272922,5,4
1469276521,4,3
1469280122,2,3
1469283722,5,6
1469287323,4,1
1469290922,2,5
1469294523,9,1
1469298122,3,6
1469301722,5,2
1469305322,4,6
1469308922,2,4
1469312522,2,4
1469316122,4,3
1469319721,4,4
1469323322,7,8
1469326922,3,3
1469330522,1,0
1469334122,4,5
1469337721,1,5
1469341322,9,2
1469344922,3,4
1469348522,6,4
1469352122,4,6
1469355723,1,3
1469359322,0,4
1469362922,1,2
1469366522,2,1
1469370121,7,5
1469373722,5,3
1469377322,3,1
1469380922,8,7
1469384523,4,5
1469388122,3,5
1469391722,3,4
1469395322,2,2
1469398921,12,5
1469402522,3,4
1469406122,4,3
1469409722,4,9
1469413322,7,4
1469416922,1,2
1469420522,10,4
1469424122,6,3
1469427722,1,10
1469431322,1,3
1469434922,6,4
1469438522,3,4
1469442122,2,1
1469445722,3,0
1469449322,3,1
1469452922,7,3
1469456521,1,9
1469460122,1,5
1469463722,3,4
1469467322,4,8
1469470922,5,3
1469474522,2,4
1469478123,7,2
1469481722,4,0
1469485322,3,11
1469488922,2,4
1469492522,3,4
1469496122,4,4
1469499722,19,9
1469503322,12,2
1469506922,7,7
1469510521,14,8
1469514122,5,1
1469517722,5,1
1469521322,4,6
1469524921,3,3
1469528522,5,2
1469532122,9,2
1469535722,6,4
1469539322,7,6
1469542923,6,2
1469546523,5,2
1469550122,6,2
1469553723,8,3
1469557322,7,5
1469560922,5,3
1469564522,8,7
1469568122,6,3
1469571722,7,3
1469575322,6,2
1469578922,6,3
1469582522,3,3
1469586121,1,14
1469589722,3,7
1469593322,11,5
1469596923,3,6
1469600522,8,6
1469604122,5,5
1469607722,4,6
1469611322,2,6
1469614922,5,6
1469618522,1,6
1469622122,5,5
1469625721,5,4
1469629322,4,5
1469632921,6,4
1469636522,3,5
1469640123,5,7
1469643722,8,4
1469647322,9,5
1469650922,8,5
1469654522,5,3
1469658121,9,7
1469661722,6,8
1469665322,6,7
1469668921,3,5
1469672522,5,1
1469676122,7,3
